,name,units,average_price,date
10,Terbium_Oxide,USD/mt,1135380.0,"Oct 27, 2023"
18,Scandium_oxide,USD/mt,891590.0,"Oct 27, 2023"
17,Lutetium_oxide,USD/mt,773170.0,"Oct 27, 2023"
11,Dysprosium_Oxide,USD/mt,369870.0,"Oct 27, 2023"
15,Holmium_Oxide,USD/mt,81496.75,"Oct 27, 2023"
5,Neodymium_Oxide,USD/mt,72998.8,"Oct 27, 2023"
4,Praseodymium_Oxide,USD/mt,72789.84,"Oct 27, 2023"
14,Praseodymium-neodymium_oxide,USD/mt,71257.42,"Oct 27, 2023"
9,High_purity_gadolinium_oxide,USD/mt,41096.65,"Oct 27, 2023"
12,Erbium_Oxide,USD/mt,40051.82,"Oct 27, 2023"
8,Gadolinium_Oxide,USD/mt,38171.13,"Oct 27, 2023"
7,Europium_Oxide,USD/mt,27170.0,"Oct 27, 2023"
16,Ytterbium_oxide,USD/mt,13931.07,"Oct 27, 2023"
13,Yttrium_Oxide,USD/mt,6268.98,"Oct 27, 2023"
3,High_Purity_Cerium_Oxide,USD/mt,2925.52,"Oct 27, 2023"
1,High_Purity_lanthanum_Oxide,USD/mt,2646.9,"Oct 27, 2023"
6,Samarium_Oxide,USD/mt,2089.66,"Oct 27, 2023"
2,Cerium_Oxide,USD/mt,696.55,"Oct 27, 2023"
0,Lanthanum_Oxide,USD/mt,599.04,"Oct 27, 2023"
